group_desc	supergroup1	series_code	group_code	primary_option_code	secondary_option_code	id	series_desc	option_desc	currency	price	standard_option_desc	compacted_option_desc	obsolete	compulsory	BAM	BHZ	BLT	BRK	BST	BVT	CHR	CHT	CLA	CPH	ELT	EMK	FCL	FTN	FTP	HYD	LEV	LTY	MHT	MLT	STG	VWY	AQU	BCH
MODEL	MODEL	A844	000	A844000001		A844000001          	MP20I	MODEL : MP20I	EUR	0	MP20I	 MODEL:MP20I																										
WHEEL/TYRE ASSY	WHEELS	A844	300	A844300001		A844300001          	MP20I	POLYURETHANE DRIVE TYRES	EUR	0	POLYURETHANE DRIVE TYRES	 POLYURETHANEDRIVETYRES																										
FORKS	MAST	A844	600	A844600001		A844600001          	MP20I	FORKS 530 X 1160	EUR	0	FORKS 530 X 1160	 FORKS530X1160	N	N																								
FORKS	MAST	A844	600	A844600002		A844600002          	MP20I	FORKS 650 X 1350	EUR	0	FORKS 650 X 1350	 FORKS650X1350	N	N																								
BATTERY	BATTERY	A844	760	A844760001		A844760001          	MP20I	BATTERY 24V 200AMP *FIAMM*	EUR	0	BATTERY 24V 200AMP *FIAMM*	 BATTERY24V200AMP*FIAMM*	N	N	200 Ah					24 Volts																		
BATTERY	BATTERY	A844	760	A844760099		A844760099          	MP20I	LESS BATTERY	EUR	0	LESS BATTERY	 LESSBATTERY	N	N																								
CHARGER	BATTERY	A844	780	A844780001		A844780001          	MP20I	CHARGER 24V 40AH *C.S.*	EUR	0	CHARGER 24V 40AH *C.S.*	 CHARGER24V40AH*CS*	N	N	40 Ah					24 Volts																		
CHARGER	BATTERY	A844	780	A844780099		A844780099          	MP20I	LESS CHARGER	EUR	0	LESS CHARGER	 LESSCHARGER	N	N																								
WARRANTY	INSPECTION/DOCS	A844	865	A844865000		A844865000          	MP20I	WARRANTY : AFFILIATE TERMS APPLY	EUR	0	WARRANTY : AFFILIATE TERMS APPLY	 WARRANTY:AFFILIATETERMSAPPLY																										
WARRANTY	INSPECTION/DOCS	A844	865	A844865001		A844865001          	MP20I	WARRANTY : STANDARD 12 MONTHS/1000 HOURS	EUR	0	WARRANTY : STANDARD 12 MONTHS/1000 HOURS	 WARRANTY:STANDARD12MONTHS/1000HOURS																										
MODEL	MODEL	A860	000	A860000001		A860000001          	MC10,12,15	MODEL : MC10	EUR	10300	MC10	 MODEL:MC10																										
MODEL	MODEL	A860	000	A860000002		A860000002          	MC10,12,15	MODEL : MC12	EUR	11025	MC12	 MODEL:MC12																										
MODEL	MODEL	A860	000	A860000003		A860000003          	MC10,12,15	MODEL : MC15	EUR	12395	MC15	 MODEL:MC15																										
PEDESTRIAN OR RIDE ON	DRIVE	A860	125	A860125001		A860125001          	MC10,12,15	PEDESTRIAN	EUR	0	PEDESTRIAN	 PEDESTRIAN																										
PEDESTRIAN OR RIDE ON	DRIVE	A860	125	A860125002		A860125002          	MC10,12,15	RIDE ON - OVERHEAD GUARD/FLASHING BEACON	EUR	1190	RIDE ON - OVERHEAD GUARD/FLASHING BEACON	 RIDEONOVERHEADGUARD/FLASHINGBEACON																										
PEDESTRIAN OR RIDE ON	DRIVE	A860	125	A860125003		A860125003          	MC10,12,15	PEDESTRIAN FOR SIDESHIFT	EUR	0	PEDESTRIAN FOR SIDESHIFT	 PEDESTRIANFORSIDESHIFT																										
PEDESTRIAN OR RIDE ON	DRIVE	A860	125	A860125004		A860125004          	MC10,12,15	RIDE ON FOR SIDESHIFT-OH GUARD/F.BEACON	EUR	1190	RIDE ON FOR SIDESHIFT-OH GUARD/F.BEACON	 RIDEONFORSIDESHIFTOHGUARD/FBEACON																										
COLD STORE	OTHER	A860	130	A860130001		A860130001          	MC10,12,15	STANDARD APPLICATION	EUR	0	STANDARD APPLICATION	 STANDARDAPPLICATION																										
COLD STORE	OTHER	A860	130	A860130002		A860130002          	MC10,12,15	COLD STORE TO MINUS 30 DEGREE C	EUR	1110	COLD STORE TO MINUS 30 DEGREE C	 COLDSTORETOMINUS30DEGREEC																										
DRIVE WHEEL & TYRES	WHEELS	A860	320	A860320001		A860320001          	MC10,12,15	POLYURETHANE DRIVE TYRES	EUR	0	POLYURETHANE DRIVE TYRES	 POLYURETHANEDRIVETYRES																										
DRIVE WHEEL & TYRES	WHEELS	A860	320	A860320002		A860320002          	MC10,12,15	NON MARKING DRIVE TYRES	EUR	240	NON MARKING DRIVE TYRES	 NONMARKINGDRIVETYRES																										
DRIVE WHEEL & TYRES	WHEELS	A860	320	A860320003		A860320003          	MC10,12,15	WET GRIP TOPTHANE TYRES	EUR	215	WET GRIP TOPTHANE TYRES	 WETGRIPTOPTHANETYRES																										
MASTS	MAST	A860	420	A860420001		A860420001          	MC10,12,15	2 STAGE HI-VI 2100 MM MAST	EUR	5315	2 STAGE HI-VI 2100 MM MAST	 2STAGEHIVI2100MMMAST	N	N																			2100 MM		2 Stages			
MASTS	MAST	A860	420	A860420002		A860420002          	MC10,12,15	2 STAGE HI-VI 2900 MM MAST	EUR	5510	2 STAGE HI-VI 2900 MM MAST	 2STAGEHIVI2900MMMAST	N	N																			2900 MM		2 Stages			
MASTS	MAST	A860	420	A860420003		A860420003          	MC10,12,15	2 STAGE HI-VI 3600 MM MAST	EUR	5950	2 STAGE HI-VI 3600 MM MAST	 2STAGEHIVI3600MMMAST	N	N																			3600 MM		2 Stages			
MASTS	MAST	A860	420	A860420004		A860420004          	MC10,12,15	2 STAGE FFL 2100 MM MAST	EUR	6570	2 STAGE FFL 2100 MM MAST	 2STAGEFFL2100MMMAST	N	N																		FFL	2100 MM		2 Stages			
MASTS	MAST	A860	420	A860420005		A860420005          	MC10,12,15	2 STAGE FFL 2900 MM MAST	EUR	6755	2 STAGE FFL 2900 MM MAST	 2STAGEFFL2900MMMAST	N	N																		FFL	2900 MM		2 Stages			
MASTS	MAST	A860	420	A860420006		A860420006          	MC10,12,15	2 STAGE FFL 3600 MM MAST	EUR	7195	2 STAGE FFL 3600 MM MAST	 2STAGEFFL3600MMMAST	N	N																		FFL	3600 MM		2 Stages			
MASTS	MAST	A860	420	A860420007		A860420007          	MC10,12,15	3 STAGE HI-VI 3800 MM MAST	EUR	8035	3 STAGE HI-VI 3800 MM MAST	 3STAGEHIVI3800MMMAST	N	N																			3800 MM		3 Stages			
MASTS	MAST	A860	420	A860420008		A860420008          	MC10,12,15	3 STAGE HI-VI 4350 MM MAST	EUR	8410	3 STAGE HI-VI 4350 MM MAST	 3STAGEHIVI4350MMMAST	N	N																			4350 MM		3 Stages			
MASTS	MAST	A860	420	A860420009		A860420009          	MC10,12,15	3 STAGE FFL 3800 MM MAST	EUR	9385	3 STAGE FFL 3800 MM MAST	 3STAGEFFL3800MMMAST	N	N																		FFL	3800 MM		3 Stages			
MASTS	MAST	A860	420	A860420010		A860420010          	MC10,12,15	3 STAGE FFL 4350 MM MAST	EUR	9760	3 STAGE FFL 4350 MM MAST	 3STAGEFFL4350MMMAST	N	N																		FFL	4350 MM		3 Stages			
MASTS	MAST	A860	420	A860420099		A860420099          	MC10,12,15	LESS MAST	EUR	0	LESS MAST	 LESSMAST	N	N																								
MASTS	MAST	A860	420	A860420101		A860420101          	MC10,12,15	2 STAGE HI-VI 2100 MM MAST SIDESHIFT	EUR	7320	2 STAGE HI-VI 2100 MM MAST SIDESHIFT	 2STAGEHIVI2100MMMASTSIDESHIFT	N	N																			2100 MM		2 Stages			
MASTS	MAST	A860	420	A860420102		A860420102          	MC10,12,15	2 STAGE HI-VI 2900 MM MAST SIDESHIFT	EUR	7515	2 STAGE HI-VI 2900 MM MAST SIDESHIFT	 2STAGEHIVI2900MMMASTSIDESHIFT	N	N																			2900 MM		2 Stages			
MASTS	MAST	A860	420	A860420103		A860420103          	MC10,12,15	2 STAGE HI-VI 3600 MM MAST SIDESHIFT	EUR	7955	2 STAGE HI-VI 3600 MM MAST SIDESHIFT	 2STAGEHIVI3600MMMASTSIDESHIFT	N	N																			3600 MM		2 Stages			
MASTS	MAST	A860	420	A860420104		A860420104          	MC10,12,15	3 STAGE FFL 3800 MM MAST SIDESHIFT	EUR	11390	3 STAGE FFL 3800 MM MAST SIDESHIFT	 3STAGEFFL3800MMMASTSIDESHIFT	N	N																		FFL	3800 MM		3 Stages			
MASTS	MAST	A860	420	A860420105		A860420105          	MC10,12,15	3 STAGE FFL 4350 MM MAST SIDESHIFT	EUR	11775	3 STAGE FFL 4350 MM MAST SIDESHIFT	 3STAGEFFL4350MMMASTSIDESHIFT	N	N																		FFL	4350 MM		3 Stages			
FORKS	MAST	A860	600	A860600001		A860600001          	MC10,12,15	FORKS 800X100X35MM	EUR	180	FORKS 800X100X35MM	 FORKS800X100X35MM	N	N																								
FORKS	MAST	A860	600	A860600002		A860600002          	MC10,12,15	FORKS 1000X100X35MM	EUR	0	FORKS 1000X100X35MM	 FORKS1000X100X35MM	N	N																								
FORKS	MAST	A860	600	A860600003		A860600003          	MC10,12,15	FORKS 1200X100X35MM	EUR	180	FORKS 1200X100X35MM	 FORKS1200X100X35MM	N	N																								
FORKS	MAST	A860	600	A860600099		A860600099          	MC10,12,15	LESS FORKS	EUR	0	LESS FORKS	 LESSFORKS	N	N																								
TRUCK LITERATURE PACKAGE	MANUALS	A860	740	A860740001		A860740001          	MC10,12,15	LITERATURE PACKAGE : ENGLISH	EUR	0	LITERATURE PACKAGE : ENGLISH	 LITERATUREPACKAGE:ENGLISH																										
TRUCK LITERATURE PACKAGE	MANUALS	A860	740	A860740002		A860740002          	MC10,12,15	LITERATURE PACKAGE : ITALIAN	EUR	0	LITERATURE PACKAGE : ITALIAN	 LITERATUREPACKAGE:ITALIAN																										
TRUCK LITERATURE PACKAGE	MANUALS	A860	740	A860740003		A860740003          	MC10,12,15	LITERATURE PACKAGE : GERMAN	EUR	0	LITERATURE PACKAGE : GERMAN	 LITERATUREPACKAGE:GERMAN																										
TRUCK LITERATURE PACKAGE	MANUALS	A860	740	A860740004		A860740004          	MC10,12,15	LITERATURE PACKAGE : FRENCH	EUR	0	LITERATURE PACKAGE : FRENCH	 LITERATUREPACKAGE:FRENCH																										
TRUCK LITERATURE PACKAGE	MANUALS	A860	740	A860740005		A860740005          	MC10,12,15	LITERATURE PACKAGE : SPANISH	EUR	0	LITERATURE PACKAGE : SPANISH	 LITERATUREPACKAGE:SPANISH																										
BATTERY	BATTERY	A860	760	A860760001		A860760001          	MC10,12,15	BATTERY 24V 300 AMP *FIAMM*	EUR	912	BATTERY 24V 300 AMP *FIAMM*	 BATTERY24V300AMP*FIAMM*	N	N	300 Ah					24 Volts																		
BATTERY	BATTERY	A860	760	A860760099		A860760099          	MC10,12,15	LESS BATTERY	EUR	0	LESS BATTERY	 LESSBATTERY	N	N																								
BATTERY	BATTERY	A860	760	A860760101		A860760101          	MC10,12,15	BATTERY 24V 345 AMP *FIAMM*	EUR	1047	BATTERY 24V 345 AMP *FIAMM*	 BATTERY24V345AMP*FIAMM*	N	N	345 Ah					24 Volts																		
BATTERY	BATTERY	A860	760	A860760102		A860760102          	MC10,12,15	BAT.24V 345 AMP *FIAMM*AUTOFIL	EUR	1299	BAT.24V 345 AMP *FIAMM*AUTOFIL	 BAT24V345AMP*FIAMM*AUTOFIL	N	N	345 Ah					24 Volts																		
CHARGER	BATTERY	A860	780	A860780099		A860780099          	MC10,12,15	LESS CHARGER	EUR	0	LESS CHARGER	 LESSCHARGER	N	N																								
WARRANTY	INSPECTION/DOCS	A860	865	A860865001		A860865001          	MC10,12,15	12 MONTHS/1000 HOURS STANDARD WARRANTY	EUR	0	12 MONTHS/1000 HOURS STANDARD WARRANTY	 12MONTHS/1000HOURSSTANDARDWARRANTY																										
TRD SURCHARGE	INSPECTION/DOCS	A860	867	A860867000		A860867000          	MC10,12,15	TECHNICAL PUBLICATIONS SURCHARGE	EUR	15	TECHNICAL PUBLICATIONS SURCHARGE	 TECHNICALPUBLICATIONSSURCHARGE																										
MISCELLANEOUS OPTIONS	OTHER	A860	880	A860880001		A860880001          	MC10,12,15	TWIN BATTERY CHANGE STATION	EUR	1000	TWIN BATTERY CHANGE STATION	 TWINBATTERYCHANGESTATION																										
MISCELLANEOUS OPTIONS	OTHER	A860	880	A860880002		A860880002          	MC10,12,15	BATTERY ROLLERS	EUR	295	BATTERY ROLLERS	 BATTERYROLLERS																										
BATTERY CHARGER	BATTERY	A860	G258	A860G25806		A860G25806          	MC10,12,15	CHARGER 1 PHASE HF 24/50 12HR HAWKER	EUR	350	CHARGER 1 PHASE HF 24/50 12HR HAWKER	 CHARGER1PHASEHF24/5012HRHAWKER	N	N						24 Volts	12 Hours			1 Phases													Hawker	
MODEL	MODEL	A863	000	A863000001		A863000001          	MO6,MO10	MODEL : MO6	EUR	24625	MO6	 MODEL:MO6																										
MODEL	MODEL	A863	000	A863000002		A863000002          	MO6,MO10	MODEL : MO10	EUR	27105	MO10	 MODEL:MO10																										
WIRE GUIDANCE FITTED	DRIVE	A863	030	A863030001		A863030001          	MO6,MO10	WIRE GUIDANCE TRUCK FITTED- 5.2KHZ 35 MA	EUR	10020	WIRE GUIDANCE TRUCK FITTED- 5.2KHZ 35 MA	 WIREGUIDANCETRUCKFITTED52KHZ35MA																										
WIRE GUIDANCE FITTED	DRIVE	A863	030	A863030002		A863030002          	MO6,MO10	WIRE GUIDANCE TRUCK FITTED- 6.25KHZ 78MA	EUR	10020	WIRE GUIDANCE TRUCK FITTED- 6.25KHZ 78MA	 WIREGUIDANCETRUCKFITTED625KHZ78MA																										
TRANS & DIRECTIONAL CTRL	ENGINE	A863	100	A863100001		A863100001          	MO6,MO10	LOAD SIDE SECOND WHEEL	EUR	90	LOAD SIDE SECOND WHEEL	 LOADSIDESECONDWHEEL	N	N																								
TRANS & DIRECTIONAL CTRL	ENGINE	A863	100	A863100002		A863100002          	MO6,MO10	LOAD SIDE CONTROLS ONLY	EUR	510	LOAD SIDE CONTROLS ONLY	 LOADSIDECONTROLSONLY	N	N																								
SPEED CONTROL	DRIVE	A863	103	A863103001		A863103001          	MO6,MO10	END OF AISLE SLOW DOWN	EUR	1410	END OF AISLE SLOW DOWN	 ENDOFAISLESLOWDOWN																										
SPEED CONTROL	DRIVE	A863	103	A863103002		A863103002          	MO6,MO10	END OF AISLE SLOW DOWN TO STOP	EUR	1880	END OF AISLE SLOW DOWN TO STOP	 ENDOFAISLESLOWDOWNTOSTOP																										
SPEED CONTROL	DRIVE	A863	103	A863103003		A863103003          	MO6,MO10	AUTOMATIC STOP	EUR	1410	AUTOMATIC STOP	 AUTOMATICSTOP																										
CAB	CAB	A863	140	A863140001		A863140001          	MO6,MO10	CABIN FAN KIT	EUR	295	CABIN FAN KIT	 CABINFANKIT	N	N																								
CAB	CAB	A863	140	A863140002		A863140002          	MO6,MO10	2 REAR CABIN VIEW MIRRORS	EUR	735	2 REAR CABIN VIEW MIRRORS	 2REARCABINVIEWMIRRORS	N	N																								
CAB	CAB	A863	140	A863140101		A863140101          	MO6,MO10	CABIN WIDTH 1000MM FOR 2 STG MAST	EUR	0	CABIN WIDTH 1000MM FOR 2 STG MAST	 CABINWIDTH1000MMFOR2STGMAST	N	N																								
CAB	CAB	A863	140	A863140102		A863140102          	MO6,MO10	CABIN WIDTH 1140MM FOR 2 STG MAST	EUR	0	CABIN WIDTH 1140MM FOR 2 STG MAST	 CABINWIDTH1140MMFOR2STGMAST	N	N																								
CAB	CAB	A863	140	A863140103		A863140103          	MO6,MO10	CABIN WIDTH 1240MM FOR 2 STG MAST	EUR	0	CABIN WIDTH 1240MM FOR 2 STG MAST	 CABINWIDTH1240MMFOR2STGMAST	N	N																								
CAB	CAB	A863	140	A863140104		A863140104          	MO6,MO10	CABIN WIDTH 1340MM FOR 2 STG MAST	EUR	0	CABIN WIDTH 1340MM FOR 2 STG MAST	 CABINWIDTH1340MMFOR2STGMAST	N	N																								
CAB	CAB	A863	140	A863140105		A863140105          	MO6,MO10	CABIN WIDTH 1440MM FOR 2 STG MAST	EUR	0	CABIN WIDTH 1440MM FOR 2 STG MAST	 CABINWIDTH1440MMFOR2STGMAST	N	N																								
FRAME	FRAME	A863	220	A863220001		A863220001          	MO6,MO10	CHASSIS 1000MM WIDE F.MAST 420001 TO 007	EUR	0	CHASSIS 1000MM WIDE F.MAST 420001 TO 007	 CHASSIS1000MMWIDEFMAST420001TO007																										
FRAME	FRAME	A863	220	A863220002		A863220002          	MO6,MO10	CHASSIS 1120MM WIDE FOR MAST 420008/9/10	EUR	0	CHASSIS 1120MM WIDE FOR MAST 420008/9/10	 CHASSIS1120MMWIDEFORMAST420008/9/10																										
MASTS	MAST	A863	420	A863420001		A863420001          	MO6,MO10	2 STAGE 3000MM MAST (CABIN FLOOR HEIGHT)	EUR	8140	2 STAGE 3000MM MAST (CABIN FLOOR HEIGHT)	 2STAGE3000MMMAST(CABINFLOORHEIGHT)	N	N																			3000 MM		2 Stages			
MASTS	MAST	A863	420	A863420002		A863420002          	MO6,MO10	2 STAGE 3500MM MAST (CABIN FLOOR HEIGHT)	EUR	8870	2 STAGE 3500MM MAST (CABIN FLOOR HEIGHT)	 2STAGE3500MMMAST(CABINFLOORHEIGHT)	N	N																			3500 MM		2 Stages			
MASTS	MAST	A863	420	A863420003		A863420003          	MO6,MO10	2 STAGE 4000MM MAST (CABIN FLOOR HEIGHT)	EUR	9600	2 STAGE 4000MM MAST (CABIN FLOOR HEIGHT)	 2STAGE4000MMMAST(CABINFLOORHEIGHT)	N	N																			4000 MM		2 Stages			
MASTS	MAST	A863	420	A863420004		A863420004          	MO6,MO10	2 STAGE 4500MM MAST (CABIN FLOOR HEIGHT)	EUR	10355	2 STAGE 4500MM MAST (CABIN FLOOR HEIGHT)	 2STAGE4500MMMAST(CABINFLOORHEIGHT)	N	N																			4500 MM		2 Stages			
MASTS	MAST	A863	420	A863420005		A863420005          	MO6,MO10	2 STAGE 2800MM MAST (CABIN FLOOR HEIGHT)	EUR	8985	2 STAGE 2800MM MAST (CABIN FLOOR HEIGHT)	 2STAGE2800MMMAST(CABINFLOORHEIGHT)	N	N																			2800 MM		2 Stages			
MASTS	MAST	A863	420	A863420006		A863420006          	MO6,MO10	2 STAGE 3300MM MAST (CABIN FLOOR HEIGHT)	EUR	9690	2 STAGE 3300MM MAST (CABIN FLOOR HEIGHT)	 2STAGE3300MMMAST(CABINFLOORHEIGHT)	N	N																			3300 MM		2 Stages			
MASTS	MAST	A863	420	A863420007		A863420007          	MO6,MO10	2 STAGE 3800MM MAST (CABIN FLOOR HEIGHT)	EUR	10425	2 STAGE 3800MM MAST (CABIN FLOOR HEIGHT)	 2STAGE3800MMMAST(CABINFLOORHEIGHT)	N	N																			3800 MM		2 Stages			
MASTS	MAST	A863	420	A863420008		A863420008          	MO6,MO10	2 STAGE 4300MM MAST (CABIN FLOOR HEIGHT)	EUR	11515	2 STAGE 4300MM MAST (CABIN FLOOR HEIGHT)	 2STAGE4300MMMAST(CABINFLOORHEIGHT)	N	N																			4300 MM		2 Stages			
MASTS	MAST	A863	420	A863420009		A863420009          	MO6,MO10	2 STAGE 4900MM MAST (CABIN FLOOR HEIGHT)	EUR	12500	2 STAGE 4900MM MAST (CABIN FLOOR HEIGHT)	 2STAGE4900MMMAST(CABINFLOORHEIGHT)	N	N																			4900 MM		2 Stages			
MASTS	MAST	A863	420	A863420010		A863420010          	MO6,MO10	2 STAGE 5400MM MAST (CABIN FLOOR HEIGHT)	EUR	12975	2 STAGE 5400MM MAST (CABIN FLOOR HEIGHT)	 2STAGE5400MMMAST(CABINFLOORHEIGHT)	N	N																			5400 MM		2 Stages			
LIFT INTERRUPT/ANTI-SLACK	MAST	A863	425	A863425001		A863425001          	MO6,MO10	LIFT INTERRUPT MOUNTED ON OVERHEAD GUARD	EUR	910	LIFT INTERRUPT MOUNTED ON OVERHEAD GUARD	 LIFTINTERRUPTMOUNTEDONOVERHEADGUARD	N	N																								
LIFT INTERRUPT/ANTI-SLACK	MAST	A863	425	A863425002		A863425002          	MO6,MO10	LIFT INTERRUPT WITH OVERRIDE	EUR	165	LIFT INTERRUPT WITH OVERRIDE	 LIFTINTERRUPTWITHOVERRIDE	N	N																								
FORKS	MAST	A863	600	A863600001		A863600001          	MO6,MO10	FORKS  800 X 80 X 30 MM	EUR	0	FORKS  800 X 80 X 30 MM	 FORKS800X80X30MM	N	N																								
FORKS	MAST	A863	600	A863600002		A863600002          	MO6,MO10	FORKS 1000 X 80 X 30 MM	EUR	0	FORKS 1000 X 80 X 30 MM	 FORKS1000X80X30MM	N	N																								
FORKS	MAST	A863	600	A863600003		A863600003          	MO6,MO10	FORKS 1150 X 80 X 30 MM	EUR	180	FORKS 1150 X 80 X 30 MM	 FORKS1150X80X30MM	N	N																								
FORKS	MAST	A863	600	A863600099		A863600099          	MO6,MO10	LESS FORKS	EUR	0	LESS FORKS	 LESSFORKS	N	N																								
OPTIONAL LIGHTS	LIGHTS	A863	710	A863710001		A863710001          	MO6,MO10	2 WORK LIGHTS WITH DOME LIGHT	EUR	365	2 WORK LIGHTS WITH DOME LIGHT	 2WORKLIGHTSWITHDOMELIGHT																										
TRUCK LITERATURE PACKAGE	MANUALS	A863	740	A863740001		A863740001          	MO6,MO10	LITERATURE PACKAGE : ENGLISH	EUR	0	LITERATURE PACKAGE : ENGLISH	 LITERATUREPACKAGE:ENGLISH																										
TRUCK LITERATURE PACKAGE	MANUALS	A863	740	A863740002		A863740002          	MO6,MO10	LITERATURE PACKAGE : ITALIAN	EUR	0	LITERATURE PACKAGE : ITALIAN	 LITERATUREPACKAGE:ITALIAN																										
TRUCK LITERATURE PACKAGE	MANUALS	A863	740	A863740003		A863740003          	MO6,MO10	LITERATURE PACKAGE : GERMAN	EUR	0	LITERATURE PACKAGE : GERMAN	 LITERATUREPACKAGE:GERMAN																										
TRUCK LITERATURE PACKAGE	MANUALS	A863	740	A863740004		A863740004          	MO6,MO10	LITERATURE PACKAGE : FRENCH	EUR	0	LITERATURE PACKAGE : FRENCH	 LITERATUREPACKAGE:FRENCH																										
TRUCK LITERATURE PACKAGE	MANUALS	A863	740	A863740005		A863740005          	MO6,MO10	LITERATURE PACKAGE : SPANISH	EUR	0	LITERATURE PACKAGE : SPANISH	 LITERATUREPACKAGE:SPANISH																										
TRUCK LITERATURE PACKAGE	MANUALS	A863	740	A863740006		A863740006          	MO6,MO10	LITERATURE PACKAGE : DUTCH	EUR	0	LITERATURE PACKAGE : DUTCH	 LITERATUREPACKAGE:DUTCH																										
BATTERY	BATTERY	A863	760	A863760099		A863760099          	MO6,MO10	LESS BATTERY	EUR	0	LESS BATTERY	 LESSBATTERY	N	N																								
BATTERY TYPE	BATTERY	A863	761	A863761002		A863761002          	MO6,MO10	AQUAMATIC TYPE BATTERY	EUR	160	AQUAMATIC TYPE BATTERY	 AQUAMATICTYPEBATTERY	N	N																							Aquamatic	
BATTERY TYPE	BATTERY	A863	761	A863761003		A863761003          	MO6,MO10	AIR MIX TYPE BATTERY	EUR	160	AIR MIX TYPE BATTERY	 AIRMIXTYPEBATTERY	N	N																							Air Mix	
CHARGER	BATTERY	A863	780	A863780099		A863780099          	MO6,MO10	LESS CHARGER	EUR	0	LESS CHARGER	 LESSCHARGER	N	N																								
CHARGER TYPE	BATTERY	A863	782	A863782001		A863782001          	MO6,MO10	AIR PUMP FOR CHARGER-FOR BATT.W/AIRMIX	EUR	440	AIR PUMP FOR CHARGER-FOR BATT.W/AIRMIX	 AIRPUMPFORCHARGERFORBATTW/AIRMIX	N	N																							Air Mix	
WARRANTY	INSPECTION/DOCS	A863	865	A863865001		A863865001          	MO6,MO10	12 MONTHS/1000 HOURS STANDARD WARRANTY	EUR	0	12 MONTHS/1000 HOURS STANDARD WARRANTY	 12MONTHS/1000HOURSSTANDARDWARRANTY																										
TRD SURCHARGE	INSPECTION/DOCS	A863	867	A863867000		A863867000          	MO6,MO10	TECHNICAL PUBLICATIONS SURCHARGE	EUR	15	TECHNICAL PUBLICATIONS SURCHARGE	 TECHNICALPUBLICATIONSSURCHARGE																										
MISCELLANEOUS OPTIONS	OTHER	A863	880	A863880001		A863880001          	MO6,MO10	GUIDE ROLLERS: 40MM RAILS/1090MM AISLE	EUR	1075	GUIDE ROLLERS: 40MM RAILS/1090MM AISLE	 GUIDEROLLERS:40MMRAILS/1090MMAISLE																										
MISCELLANEOUS OPTIONS	OTHER	A863	880	A863880002		A863880002          	MO6,MO10	GUIDE ROLLERS: 40MM RAILS/1140MM AISLE	EUR	1075	GUIDE ROLLERS: 40MM RAILS/1140MM AISLE	 GUIDEROLLERS:40MMRAILS/1140MMAISLE																										
MISCELLANEOUS OPTIONS	OTHER	A863	880	A863880003		A863880003          	MO6,MO10	GUIDE ROLLERS: 40MM RAILS/1340MM AISLE	EUR	1075	GUIDE ROLLERS: 40MM RAILS/1340MM AISLE	 GUIDEROLLERS:40MMRAILS/1340MMAISLE																										
MISCELLANEOUS OPTIONS	OTHER	A863	880	A863880004		A863880004          	MO6,MO10	SINGLE ROLLER BATTERY CHANGE TROLLEY	EUR	1040	SINGLE ROLLER BATTERY CHANGE TROLLEY	 SINGLEROLLERBATTERYCHANGETROLLEY																										
MISCELLANEOUS OPTIONS	OTHER	A863	880	A863880005		A863880005          	MO6,MO10	FLOOR MAGNET KIT (2 MAGNETS)	EUR	110	FLOOR MAGNET KIT (2 MAGNETS)	 FLOORMAGNETKIT(2MAGNETS)																										
MISCELLANEOUS OPTIONS	OTHER	A863	880	A863880006		A863880006          	MO6,MO10	A4 CLIP BOARD	EUR	295	A4 CLIP BOARD	 A4CLIPBOARD																										
MISCELLANEOUS OPTIONS	OTHER	A863	880	A863880007		A863880007          	MO6,MO10	FREQUENCY GENERATOR (5.2KH AT 35 MA RMS)	EUR	2740	FREQUENCY GENERATOR (5.2KH AT 35 MA RMS)	 FREQUENCYGENERATOR(52KHAT35MARMS)																										
MISCELLANEOUS OPTIONS	OTHER	A863	880	A863880008		A863880008          	MO6,MO10	FREQUENCY GENERATOR(6.25 KH AT 78MA RMS)	EUR	2740	FREQUENCY GENERATOR(6.25 KH AT 78MA RMS)	 FREQUENCYGENERATOR(625KHAT78MARMS)																										
BATTERY	BATTERY	A863	G249	A863G24901		A863G24901          	MO6,MO10	BATTERY 24V 575AH 827X324X627H HAWKER	EUR	1990	BATTERY 24V 575AH 827X324X627H HAWKER	 BATTERY24V575AH827X324X627HHAWKER	N	N	575 Ah					24 Volts																	Hawker	827 MM
BATTERY	BATTERY	A863	G249	A863G24902		A863G24902          	MO6,MO10	BATTERY 24V 625AH 827X324X627H HAWKER	EUR	2200	BATTERY 24V 625AH 827X324X627H HAWKER	 BATTERY24V625AH827X324X627HHAWKER	N	N	625 Ah					24 Volts																	Hawker	827 MM
BATTERY	BATTERY	A863	G249	A863G24999		A863G24999          	MO6,MO10	LESS BATTERY	EUR	0	LESS BATTERY	 LESSBATTERY	N	N																								
BATTERY CHARGER	BATTERY	A863	G258	A863G25801		A863G25801          	MO6,MO10	CHARGER 50HZ-1 PHASE-24/110-8HR HAWKER	EUR	990	CHARGER 50HZ-1 PHASE-24/110-8HR HAWKER	 CHARGER50HZ1PHASE24/1108HRHAWKER	N	N		50 Hz				24 Volts	8 Hours			1 Phases													Hawker	
BATTERY CHARGER	BATTERY	A863	G258	A863G25802		A863G25802          	MO6,MO10	CHARGER 50HZ-1 PHASE-24/120-8HR HAWKER	EUR	1050	CHARGER 50HZ-1 PHASE-24/120-8HR HAWKER	 CHARGER50HZ1PHASE24/1208HRHAWKER	N	N		50 Hz				24 Volts	8 Hours			1 Phases													Hawker	
